data,valor,id_vendedor
2026-01-14,59051,402
2025-11-16,83484,852
2026-02-16,72771,37
2025-12-28,88935,811
2025-11-15,84761,204
2026-04-08,99212,928
2025-06-26,20003,776
2026-04-03,26760,24
2025-06-27,63231,184
2025-11-05,71667,183
2025-07-25,29850,840
2025-07-11,55054,391
2025-11-15,44945,111
2026-02-25,69383,838
2025-12-03,85546,293
2025-08-30,72877,427
2025-08-04,30279,60
2026-03-09,41802,96
2025-09-19,12059,5
2025-08-29,25735,593
2026-03-13,88395,362
2026-04-12,48333,363
2026-04-17,86792,650
2026-01-17,1237,657
2026-04-07,36188,507
2025-07-22,52875,599
2025-05-29,30981,997
2025-11-14,2040,562
2026-01-18,73080,86
2026-03-11,92704,907
2025-09-14,49465,536
2025-06-13,39158,674
2026-03-08,6413,580
2026-05-06,39536,788
2025-09-06,97478,230
2025-07-26,96420,462
2025-06-15,56497,540
2026-04-22,64291,536
2025-11-13,79159,226
2025-10-06,7438,355
2026-02-21,57324,559
2026-01-18,82254,89
2025-10-01,48369,317
2025-11-25,44110,469
2026-03-03,21648,559
2025-10-24,11254,378
2026-03-22,51337,880
2025-09-25,91406,876
2025-06-04,94309,897
2025-10-28,44196,408
2026-02-17,52729,296
2025-08-08,92777,309
2025-07-29,66970,350
2025-07-04,54944,940
2026-01-31,6110,450
2026-02-13,83500,365
2025-07-17,94382,681
2025-11-13,14715,35
2025-08-16,99588,154
2026-04-01,72262,167
2025-10-01,49347,392
2025-08-28,50456,605
2025-05-23,79851,48
2025-06-26,14163,771
2025-10-11,90889,142
2026-01-29,1666,480
2026-04-17,59942,272
2025-07-15,62181,547
2026-02-22,71206,324
2025-11-08,42737,679
2025-10-01,79789,921
2026-03-11,46413,865
2026-01-20,47551,257
2025-10-09,68428,767
2025-09-07,37563,428
2025-09-08,125,351
2025-11-26,15004,511
2025-11-27,77983,451
2026-03-21,18063,146
2025-11-10,93482,10
2025-08-04,8036,461
2025-07-17,56392,699
2026-03-11,10582,456
2025-07-18,86070,649
2025-06-08,28452,168
2025-05-28,97732,409
2025-05-23,92556,896
2025-12-08,57482,1000
2025-10-25,95810,960
2025-07-23,83602,703
2025-09-04,11909,860
2025-07-21,46827,709
2026-02-16,89915,536
2025-06-21,78261,539
2026-05-02,61193,97
2025-12-28,58141,624
2025-08-01,26610,4
2025-09-17,43754,740
2025-07-22,28044,816
2026-02-20,66665,174
2025-08-01,39350,985
2026-01-31,55090,327
2025-08-19,32436,754
2026-04-03,70662,928
2025-08-26,68660,539
2026-05-09,67260,313
2025-10-09,41164,883
2025-07-23,35096,434
2026-02-12,43943,499
2025-09-13,16634,238
2026-05-05,37818,190
2025-10-27,89322,364
2026-04-07,52976,755
2025-06-22,87954,119
2025-08-21,72145,279
2026-02-03,86788,893
2026-02-22,97296,652
2026-02-28,81339,12
2025-08-22,2939,57
2025-08-31,16268,656
2026-02-16,92546,522
2026-05-10,62215,933
2026-03-19,19699,61
2025-06-02,35351,900
2026-02-28,35524,128
2025-09-06,40999,873
2026-03-27,36939,307
2025-05-29,77925,685
2025-09-01,21897,861
2025-11-11,82374,390
2025-05-24,17889,240
2026-01-18,40951,347
2026-02-03,94195,812
2025-12-10,2270,614
2026-01-05,345,551
2026-04-14,12350,505
2025-10-16,31391,196
2025-07-13,53073,812
2025-12-24,29040,483
2026-04-15,59974,386
2026-04-24,56840,481
2025-06-08,52844,145
2025-06-07,2431,435
2026-01-13,78684,774
2026-04-07,15162,504
2026-01-15,9142,662
2026-04-05,77582,867
2026-01-02,27614,752
2025-12-31,69558,404
2025-11-26,93984,967
2026-01-19,65821,142
2025-12-05,84478,453
2025-09-30,37158,839
2025-09-11,20978,880
2026-03-11,36834,905
2025-11-12,53905,370
2025-11-24,60525,223
2025-06-13,95417,304
2025-12-02,99061,974
2026-04-09,91878,317
2025-07-09,33850,208
2025-11-05,18431,575
2025-12-24,14002,830
2025-07-18,69881,884
2025-09-18,34024,754
2025-10-19,51096,247
2025-06-04,79452,970
2025-08-16,59106,138
2025-11-12,35548,305
2025-06-04,60543,930
2025-07-07,13373,254
2025-12-30,65653,316
2026-04-16,52582,77
2026-05-05,36190,911
2026-03-02,98430,238
2025-10-25,49008,504
2026-04-03,68667,303
2025-06-09,83566,123
2025-07-19,45710,176
2025-10-31,61291,232
2025-09-24,86929,112
2025-09-09,82566,286
2026-04-03,19438,827
2026-01-05,85234,216
2026-03-15,92010,833
2026-05-03,83832,463
2025-09-06,36441,559
2025-10-10,46830,808
2025-08-21,29957,725
2025-11-29,88970,162
2025-07-22,27427,866
2026-03-14,35325,507
2026-03-05,44093,105
2025-10-31,53775,375
2025-08-01,24387,819
2025-09-16,94684,310
2025-12-09,23716,936
2025-10-04,984,724
2025-05-25,97938,254
2025-08-25,80404,955
2025-08-05,43874,51
2025-12-30,99004,822
2025-08-25,60709,753
2025-11-11,21126,522
2025-09-24,18865,44
2026-04-26,68021,938
2026-04-05,4540,77
2025-12-08,2480,117
2026-01-15,95189,478
2026-05-11,71701,450
2025-08-01,5337,469
2026-04-21,99985,552
2025-08-07,83861,170
2025-07-05,76839,740
2026-05-17,19982,362
2025-09-06,284,957
2025-07-29,69380,379
2026-03-03,36260,666
2025-08-10,20733,727
2025-07-28,65360,745
2026-05-07,47885,990
2025-06-06,58193,133
2025-12-15,93635,422
2026-03-08,82013,491
2025-09-13,91615,27
2025-06-13,86588,3
2026-02-09,69947,194
2025-07-23,79094,90
2026-04-28,70805,566
2025-11-26,97,723
2025-11-25,5043,572
2025-09-26,17593,830
2025-07-23,48207,823
2026-02-28,5603,753
2025-08-03,4713,889
2026-05-03,6775,958
2025-09-03,90225,857
2026-05-16,29505,583
2025-07-11,97250,384
2026-03-02,89921,568
2025-05-22,14768,564
2026-05-11,47783,847
2025-10-29,50537,237
2025-10-29,93651,346
2026-01-05,88471,6
2026-04-30,39157,653
2025-09-24,73917,21
2025-05-23,58531,446
2026-04-30,11788,793
2026-02-02,81577,67
2026-01-17,23311,427
2025-12-19,8120,81
2025-12-19,17163,637
2026-03-18,89333,869
2025-09-24,91209,412
2026-02-13,87784,725
2026-05-06,80476,462
2026-03-12,43140,11
2025-08-29,98256,882
2025-12-02,71972,858
2025-10-16,81316,512
2025-06-17,87071,435
2026-02-28,73888,747
2025-05-25,3823,600
2025-11-13,47080,363
2025-05-25,25292,418
2026-02-23,48274,688
2025-11-07,1689,570
2026-03-01,52997,176
2025-11-26,56635,503
2025-10-08,59311,633
2025-08-05,68778,856
2026-03-10,74711,913
2026-01-20,12671,426
2025-10-12,71503,522
2025-10-18,62923,485
2025-10-15,64340,897
2026-01-14,70429,800
2026-02-11,81858,187
2025-08-06,5978,201
2025-08-31,49531,623
2026-03-11,36956,700
2026-03-13,71612,177
2026-03-20,64879,952
2025-07-23,38658,672
2025-09-03,33905,360
2025-07-08,8089,176
2026-04-07,40207,124
2025-08-21,10332,868
2026-02-21,30886,399
2026-05-14,66836,699
2025-11-14,32181,327
2025-10-27,46053,802
2025-10-31,22646,968
2025-09-10,79899,824
2026-01-12,2903,961
2025-07-06,99326,816
2026-02-18,6004,663
2025-05-30,16036,407
2026-01-06,33012,342
2025-11-29,46351,395
2025-07-28,2655,575
2026-04-08,45201,705
2025-08-16,3303,551
2025-06-06,48049,969
2025-05-24,22253,57
2025-10-03,31957,877
2026-04-08,64810,359
2026-03-09,71449,205
2025-10-31,40850,608
2026-01-13,43579,655
2025-12-27,57562,185
2025-11-11,37683,428
2026-04-10,61013,967
2025-12-29,2671,820
2025-11-11,3956,600
2025-08-13,45468,694
2025-05-30,65072,687
2026-01-02,47295,935
2025-10-20,49529,468
2025-11-16,45446,294
2025-06-29,57985,772
2026-04-14,24527,11
2026-01-30,20886,689
2025-10-29,73764,489
2025-09-04,31613,808
2026-01-10,19345,235
2025-06-17,70863,498
2025-10-21,46188,594
2026-04-21,40842,75
2026-05-19,3853,459
2025-11-06,99568,62
2026-05-01,82427,866
2026-02-07,65660,93
2025-07-25,72554,277
2025-05-20,14531,593
2026-01-28,6727,28
2025-06-18,27201,564
2025-11-07,40986,601
2025-06-05,92560,44
2025-06-07,32284,152
2025-12-24,88836,684
2026-05-12,49249,662
2025-05-25,28279,431
2026-01-08,32031,548
2026-03-06,9766,630
2025-08-05,22673,559
2026-03-04,351,254
2025-07-23,83344,959
2026-02-17,94997,83
2025-07-18,82220,354
2026-04-01,77668,983
2025-06-23,60921,145
2025-07-03,58522,181
2025-11-27,38174,77
2026-02-14,14640,154
2026-02-18,64970,162
2025-12-30,56918,753
2025-07-18,76016,806
2026-02-27,9624,927
2025-07-18,14390,178
2026-03-12,31980,391
2026-03-08,29468,986
2026-05-10,94792,723
2026-04-08,37025,30
2025-08-26,49411,41
2025-06-04,57788,832
2025-08-29,84798,370
2026-01-17,25486,504
2025-11-21,87707,299
2025-11-29,88222,736
2026-02-09,55304,525
2026-02-15,17350,456
2025-05-22,19135,375
2025-11-15,53968,116
2026-02-15,74483,127
2025-05-27,82659,552
2026-03-04,17157,363
2025-10-16,54745,528
2025-08-25,5763,631
2026-03-30,31874,106
2025-10-22,52141,520
2026-04-08,98799,670
2025-08-16,55227,407
2025-10-09,72729,887
2025-10-30,46139,849
2025-08-22,34560,6
2026-02-28,2789,357
2026-01-31,19678,70
2025-08-28,65170,133
2025-09-04,4120,491
2026-01-22,8044,489
2026-01-10,80416,204
2025-06-12,8688,437
2025-06-28,88813,410
2025-12-12,50973,201
2026-03-25,90051,429
2025-07-29,67965,664
2026-03-30,27266,540
2025-08-23,78262,831
2025-12-03,70568,907
2026-01-03,64102,46
2026-02-03,21370,360
2026-04-27,59198,456
2026-04-21,5585,169
2026-02-09,28765,540
2025-08-05,71960,724
2025-07-01,9126,216
2026-04-05,17503,862
2025-06-06,75969,603
2026-02-06,86153,691
2026-04-21,32117,40
2025-05-30,51731,787
2026-04-23,79481,2
2025-07-14,77340,608
2025-07-07,41986,302
2026-05-09,86373,687
2026-03-14,59399,941
2025-12-12,99363,960
2026-05-09,88574,380
2025-09-21,53573,515
2025-06-14,49568,876
2026-04-12,96244,123
2026-04-02,16018,540
2026-01-23,28659,800
2025-12-23,96154,489
2025-09-14,79721,91
2025-12-05,53265,728
2025-10-19,95681,649
2026-01-11,54984,261
2026-05-07,72147,606
2025-08-31,37291,37
2025-07-06,75703,476
2026-01-05,63824,125
2026-04-17,69751,734
2026-03-21,92617,136
2025-11-21,91899,482
2025-08-06,38406,378
2026-03-29,45757,995
2025-06-25,33594,958
2026-02-13,52922,688
2025-12-20,94672,888
2026-05-11,32265,468
2025-06-22,67238,287
2025-07-04,89272,293
2025-07-14,49943,431
2025-07-04,63667,69
2026-03-15,99876,521
2026-04-11,14945,398
2025-06-15,98540,837
2026-02-16,53460,892
2026-02-22,58428,2
2026-01-19,45921,66
2026-05-13,90641,8
2026-04-24,5995,670
2026-03-24,74727,201
2025-10-22,98630,362
2025-06-16,37927,74
2026-02-24,59230,140
2026-04-17,63975,52
2025-05-24,97208,574
2025-09-22,87808,285
2025-08-31,55036,586
2025-09-09,98851,142
2025-12-08,30147,477
2025-06-01,40917,433
2025-07-01,80476,487
2026-01-28,29804,898
2026-05-12,17622,412
2025-06-18,48192,250
2026-01-21,80439,288
2026-05-17,28936,34
2025-09-13,87236,317
2026-05-15,14862,826
2025-05-26,60535,697
2026-04-22,90194,78
2026-01-17,59733,51
2026-01-25,3544,958
2026-03-20,20490,673
2025-09-02,97688,969
2026-03-28,79795,416
2026-01-14,89393,688
2026-04-08,34720,23
2025-07-25,87477,96
2026-03-16,91331,725
2026-02-02,70831,836
2025-07-25,77090,909
2025-11-29,22635,332
2025-06-23,48153,199
2025-12-26,24556,196
2025-11-28,49684,934
2026-02-05,17058,979
2026-02-08,5453,562
2025-06-26,86628,567
2025-12-12,22529,833
2026-02-26,35014,415
2025-12-18,76956,824
2025-08-12,88019,654
2025-06-28,36175,671
2025-08-27,14462,708
2025-10-16,10169,384
2025-07-03,74435,195
2025-09-03,20199,92
2025-11-19,3694,166
2025-06-09,59176,213
2026-03-12,30615,862
2025-09-26,91269,788
2025-10-27,66121,856
2026-04-07,20981,363
2025-09-07,66700,82
2025-06-18,32456,909
2026-03-11,1070,954
2025-09-21,10601,993
2025-06-16,12408,697
2025-07-24,66127,367
2025-05-24,53033,889
2025-10-14,39696,811
2025-09-03,17858,839
2025-05-24,63090,266
2025-08-12,19160,199
2025-08-20,31063,467
2025-12-06,16227,643
2025-07-27,28396,307
2025-10-08,21779,240
2026-01-29,71626,965
2025-10-22,76463,409
2026-01-01,66850,887
2025-12-27,6845,116
2026-03-18,57308,956
2025-07-17,48718,758
2025-11-04,58428,79
2026-03-14,4062,355
2026-01-24,11962,675
2026-01-26,30065,651
2026-02-19,18291,278
2025-11-26,6109,609
2025-10-27,46711,247
2025-11-07,68805,382
2026-03-15,32444,472
2025-07-19,8765,669
2025-10-29,25981,518
2025-09-19,62720,290
2025-10-22,43270,426
2026-04-13,98210,777
2025-09-15,2698,849
2025-10-02,18143,790
2025-07-02,83082,847
2026-05-16,64156,699
2026-01-29,5164,729
2026-03-30,80263,97
2025-09-05,1440,127
2026-03-02,97882,466
2025-09-28,70923,544
2026-04-01,65781,957
2025-11-25,62728,685
2026-03-14,75560,689
2025-09-25,49695,337
2025-07-02,17961,316
2026-04-19,65336,126
2025-12-13,81483,638
2025-11-14,26491,835
2025-06-21,927,630
2025-07-04,82446,54
2025-10-12,30745,931
2026-02-04,30603,524
2025-08-16,3359,73
2025-08-12,61438,602
2026-02-06,61946,476
2025-12-29,23253,712
2026-02-18,45733,68
2025-10-20,15169,896
2026-02-09,27594,701
2026-01-28,16414,509
2026-05-15,45457,808
2025-10-20,76286,789
2026-05-04,99702,375
2025-05-31,64240,982
2025-09-12,85756,658
2026-03-02,40097,120
2026-03-20,20960,102
2025-10-23,68582,931
2026-05-09,21750,195
2025-07-19,89248,308
2026-02-15,57148,146
2025-06-16,80599,304
2026-05-19,85281,18
2025-12-10,16939,855
2025-06-12,11477,10
2025-12-07,75434,723
2025-12-20,40323,835
2025-12-23,32604,330
2025-09-19,36888,556
2025-06-27,84218,184
2025-10-29,6511,525
2025-08-29,6738,844
2026-01-02,36359,335
2026-04-15,15067,424
2026-03-30,69592,983
2025-08-10,13424,805
2025-07-19,9023,609
2025-11-25,40070,232
2026-02-02,68673,84
2026-05-12,17787,677
2026-03-27,33177,207
2025-08-12,62972,725
2026-04-09,18851,389
2026-02-19,17602,635
2025-07-08,84262,103
2026-03-01,15821,396
2025-07-27,26651,648
2025-08-08,41332,461
2025-08-12,58819,998
2026-01-15,46940,444
2026-03-09,25900,267
2026-03-17,93952,81
2025-07-18,62611,971
2026-04-03,64109,541
2025-07-11,94666,551
2026-03-20,34319,826
2025-11-17,57169,112
2025-12-16,48417,816
2025-12-02,57827,170
2026-02-05,59479,956
2025-12-16,19301,848
2026-03-09,64469,390
2025-11-28,36447,907
2026-01-10,47754,994
2025-05-23,56909,162
2025-07-15,82598,799
2025-10-20,58137,383
2025-07-20,48167,286
2025-07-16,23296,198
2026-03-02,49775,556
2026-01-21,44643,690
2025-08-02,51104,683
2025-12-12,68251,509
2026-01-26,26500,737
2025-10-22,84511,99
2025-11-02,2754,88
2025-05-28,50311,290
2025-07-27,80574,169
2026-02-09,79359,976
2026-02-27,55472,615
2025-11-07,32076,53
2026-01-09,37083,928
2025-11-14,28117,877
2025-09-09,74203,682
2026-05-10,63943,640
2025-05-20,81287,814
2025-12-17,22402,464
2026-05-02,34973,463
2025-10-13,86892,807
2025-09-05,36831,937
2026-05-03,71028,154
2025-12-17,87401,363
2025-06-23,54174,727
2025-05-23,48711,520
2026-02-23,5128,543
2026-03-12,38620,252
2026-05-07,83424,959
2026-04-18,43498,653
2026-02-22,88686,196
2025-06-17,62711,301
2025-08-05,44433,177
2025-11-23,56798,267
2025-08-21,15779,839
2025-08-22,17003,499
2026-03-01,74352,822
2026-05-03,69035,384
2025-06-10,32892,336
2025-08-29,42667,547
2026-01-28,34079,297
2025-11-07,566,152
